Features,MAE,RMSE,R2
Basic,0.005901907631533574,0.010066084239395673,0.7378265702591021
+Env,0.005918256302744705,0.010232079873623198,0.7291084876482414
+FAO,0.006357299419552665,0.010530764205335157,0.7130624857895418
+Forecast,0.003785524745149911,0.006519579783498994,0.8900217605266747
Full,0.0033032169646750424,0.005886827137248335,0.9103335200503255
