Model,MSE,MAE,RMSE,R2
RandomForest,3.15558044341718e-05,0.0034253560935495874,0.005617455334417159,0.9183517632394106
XGBoost,0.00010347027837656702,0.004718604676589991,0.01017203413170478,0.7322785478596286
SVR,0.0008320922962500001,0.021649625000000002,0.028846010057718557,-1.1529753409585557
